ARTIST_NAME-SONG_NAME	ARTIST_URL	SONG_NAME	SONG_URL	LYRICS
portishead-mourning air	https://www.azlyrics.com/p/portishead.html	mourning air	https://www.azlyrics.com/lyrics/portishead/mourningair.html	did i see a moment with you, in a half lit world, i'm frightened to believe, but i must try, if i stumble if i fall, i'm reaching out in this mourning air, ohh, have i got the strength to ask, beyond the window, i feel this fear alone, until we have, total honesty, if i tremble or fall, i'm reaching out in this mourning air, ohh, should i feel a moment with you, to softly whisper, i crave nothing else so much, longing to reveal, total honesty, i can feel your touch, i'm reaching out in this mourning air, ohh, i'm reaching out in this mourning air, ohh.
portishead-seven months	https://www.azlyrics.com/p/portishead.html	seven months	https://www.azlyrics.com/lyrics/portishead/sevenmonths.html	how can i forget you, disregard how i feel, silently listen, to the words i can't see, for as long as i have tried, and as low as i can be, i will never resign myself, from the trial i seek, why should i forgive you, after all that i've seen, quietly whisper, when my heart wants to scream, for as long as i have tried, and as low as i can be, i will never resign myself, from the trial i seek, there's no time to rest, or to reconsider, for this cruel unsaid, won't concede, for as long as i have tried, and as low as i can be, i will never resign myself, from the trial i seek
portishead-only you	https://www.azlyrics.com/p/portishead.html	only you	https://www.azlyrics.com/lyrics/portishead/onlyyou.html	we suffer everyday, what is it for, these crimes of illusion, are fooling us all, and now i am weary and i feel like i do, it's only you, who can tell me apart, and it's only you, who can turn my wooden heart, the size of our fight, it's just a dream, we've crushed everything i can see, in this morning selfishly, how we've failed and i feel like i do, it's only you, who can tell me apart, and it's only you, who can turn my wooden heart, now that we've chosen to take all we can, this shade of autumn, a stale bitter end, years of frustration lay down side by side, and it's only you, who can tell me apart, and it's only you, who can turn my wooden heart, it's only you, who can tell me apart, and it's only you, who can turn my wooden heart
portishead-elysium	https://www.azlyrics.com/p/portishead.html	elysium	https://www.azlyrics.com/lyrics/portishead/elysium.html	no one has said what the truth should be, and no one decided that i'd feel this way, if you felt as i, would you betray yourself, but, you can't deny how i feel, and you can't decide for me, no one should fear what they cannot see, and no ones to blame it's just hypocrisy, it's written in your eyes, and how i despise myself, but, you can't deny how i feel, and you can't decide for me, and it's your heart, that's so wrong, mistaken, you'll never know, your feathered sacred self, but, you can't deny how i feel, and you can't decide for me, and you can't deny how i feel, and why should you decide for me
portishead-western eyes	https://www.azlyrics.com/p/portishead.html	western eyes	https://www.azlyrics.com/lyrics/portishead/westerneyes.html	forgotten throes of anothers life, the heart of love is their only light, faithless greeds, consolidating, holding down sweet charity, with western eyes and serpents breath, we lay our own conscience to rest, but i'm aching at the view, yes i'm breaking at the scenes just like you, they have values of a certain taste, the innocent they can hardly wait, to crucify, invalidating, turning to dishonesty, with western eyes and serpents breath, they lay their own conscience to rest, but then they lie and then they dare to be, hidden heros candidly, so i'm aching at the view, yes i'm breaking at the scenes just like you,
portishead-silence	https://www.azlyrics.com/p/portishead.html	silence	https://www.azlyrics.com/lyrics/portishead/silence.html	esteja alerta para as regras dos tres, o que voce da, retornara para voce, essa licao, voce tem que aprender, voce so ganha o que voce merece, tempted in our minds, tormented inside lie, wounded and afraid, inside my head, falling through changes, did you know when you lost?, did you know when i wanted?, did you know what i lost?, do you know what i wanted?, empty in our hearts, crying out in silence, wandered out of reach, too far to speak, drifting unable, did you know when you lost?, did you know when i wanted?, did you know what i lost?, do you know what i wanted?
portishead-hunter	https://www.azlyrics.com/p/portishead.html	hunter	https://www.azlyrics.com/lyrics/portishead/hunter.html	no-one said, we'd ever known each other, and new evidence is what we require, in this world, i stand on the edge of a broken sky, and i will come down; don't know why, and if i should fall, would you hold me?, would you pass me by?, for you know i'd ask you for nothing, just to wait for a while, so confused, my thoughts are takin' over, unwanted, arising space me instead, won't let go, i stand on the edge of a broken sky, and i will come down; don't know why, and if i should fall, would you hold me?, would you pass me by?, for you know i'd ask you for nothing, just to wait for a while
de la soul-can u keep a secret?	https://www.azlyrics.com/d/delasoul.html	can u keep a secret?	https://www.azlyrics.com/lyrics/delasoul/canukeepasecret.html	ahh yeah, ah ah ah, prince paul likes buddy, posdnuos likes buddy, trugoy likes buddy, mase likes buddy, wouldn't you like to buddy too? ooh, prince paul needs a haircut, mase needs a haircut, posdnuos needs a haircut, trugoy would you please give us a haircut?, prince paul needs a luuden, trugoy needs a luuden, posdnuos needs a luuden, mase needs a luuden, everybody i want to just get a luuden, paul has dandruff, posdnuos has a lot of dandruff, mase has big fat dandruff, trugoy has dandruff, everybody in the world, you have dandruff, dante is a scrubb, dante is a scrubb, dante is a scrubb, dante is a scrubb,
de la soul-jenifa taught me (derwin's revenge)	https://www.azlyrics.com/d/delasoul.html	jenifa taught me (derwin's revenge)	https://www.azlyrics.com/lyrics/delasoul/jenifataughtmederwinsrevenge.html	, access to her code, lovestruck was my mode, took a look, dropped my textbook, jenifa. breakfast, broke it fast, she was in my english class, asked for notes, rocked my boat, jenifa. jenny, lost her favourite penny, so i gave her a dollar, she kissed me, in a flash the school bell rang, jenny grabbed on to my hand, took me home and said, trugoy just, swing and swing and swing, the downstairs, where we met, i brought records, she cassettes, lost the breaks, found her shape, jenifa, oh jenny, transcripts showed more than flirt, 'i love daisies' read her shirt, grabbed my jeans, jimmy screamed, jenifa, oh jenny, marvelous, shaped like a vase, no one can live their life for pos, found a house, aroused my joust, jenifa, oh jenny, her clothes, i did shuck, just like dan i strictly stuck, to the punt, she cried 'kick it', posdnuos was in, jenny, only thought about jimmy, but asked was i a virgin, like some kid named derwin?, she said 'let's try it in the bathroom', but 'dnuos is way above sinks, so to the kitchen she did dan, and came back wrapped in saran, (now wait a minute! little derwin got something to, show us that jenny could never do. listen.), (hey. look at little derwin. look at him go, look at him go!, awww, baby.), positions, muscles flexed, dove was lost in a ghana hex, passed her test, felt her teddy, jenifa oh jenny, notions, soothed the mood, dove was lost in de la heaven, screwed plug two, did the do, jenifa oh jenny, jenny, teased my homeboy granny, in fact she teased so many, she was known as a garden tool, no more, i dispatched, was it jimmy had met his match, or could it be the realisation, all girls owned a jenny, for normal health, i had fought, a valuable lesson she had taught, don't flaunt that the candy is good, unless you came with plenty
de la soul-ghetto thang	https://www.azlyrics.com/d/delasoul.html	ghetto thang	https://www.azlyrics.com/lyrics/delasoul/ghettothang.html	, that's a fib, she had two twins though, and one crib, now she's only fourteen, what a start, but this effect is ground common in these parts, now life in this world can be such a bitch, and dreams are often torn and shattered and hard to stitch, negative's the attitude that runs the show, when the stage is the g-h-e-t-t-o, which is the one to blame when bullets blow, either peter, jane, or john or joe, but joe can't shoot a gun, he's always drunk, and peter's pimping jane, and john's a punk, infested are the halls, also the brains, daddy's broken down from ghetto pains, mommy's flying high, the truth is shown, the kids are all alone, 'cause it's just the ghetto thang, it's just the ghetto thang, who ranks the baddest brother, the ones who rule, this title is sought by the coolest fool, define coolest fool? easy, the one who needs, attention in the largest span and loves to lead, always found at the jams, but never dance, just provoke violence due to one glance, the future plays no matter, just the present flow, when the greeting place is the g-h-e-t-t-o, lies are pointed strong into your skull, deep within your brain against the wall, to hide or just erase the glowing note, of how to use the ghetto as a scapegoat, truth from trugoy's mouth is here to scar, those who blame the g for all bizarre, so open up your vents and record well, for this is where we stand, for the true tell, ghetto gained a ghetto name from ghetto ways, now there could be some ghetto gangs and ghetto play, if ghetto thang can have its way in ghetto range, then there must be some ghetto love and ghetto change, though confident they keep it kept, we know for fact, they lie like ghettos form, 'cause people lack, to see that they must all get out the ghetto hold, the truth they never told, 'cause it's just the ghetto thang, it's just the ghetto thang, do people really wish when they blow, out the cake candles, and if so, is it for the sunken truth which could arise, from out the characters in which the ghetto hides, roses in the ring supply their shown relief, granted it's planted by their shown belief, kill and feed off your own brother man, has quickly been adopted as the master plan, posses of our people has yet to provoke, freedom or death to them, it's just a joke, what causes this defect, i don't know, maybe it's the g-h-e-t-t-o, it's just the ghetto thang, standing in the rain is nothing felt, when problems hold more value, but never dealt with, buildings crumbling to the ground, impact noise is silent sound, but who's the one to say this life is wrong, when ghetto life is chosen strong, we seem to be misled about our dreams, but dreams ain't what it seem, when it's just the ghetto thang, it's just the ghetto thang
